epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3529.94,2.31382,4.33086,1.40369,0.59543,0.70046,0.61564,0.26114,1.49223,23.9962,0.96001,0.000333021,0.000333021,0.000333021
2,7424.22,1.96958,2.02704,1.23334,0.69754,0.76872,0.7662,0.33616,1.40738,16.2944,0.92371,0.00065316,0.00065316,0.00065316
